Id,Id2,Geography,Year,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied,Margin of Error; Owner occupied,Estimate; Renter occupied,Margin of Error; Renter occupied
0500000US06097,6097,"Sonoma County, California",2012,482035,2653,281902,10057,200133,10062
0500000US06099,6099,"Stanislaus County, California",2012,515794,1391,278053,9660,237741,9910
0500000US06101,6101,"Sutter County, California",2012,94083,333,56544,4001,37539,4030
0500000US06107,6107,"Tulare County, California",2012,445743,1166,242703,10754,203040,10516
0500000US06111,6111,"Ventura County, California",2012,824403,1654,525114,13930,299289,13799
0500000US06113,6113,"Yolo County, California",2012,195463,1372,98369,7059,97094,7250
0500000US06115,6115,"Yuba County, California",2012,71607,796,41645,3356,29962,3373
0500000US06001,6001,"Alameda County, California",2013,1545065,2065,850900,16839,694165,16929
0500000US06007,6007,"Butte County, California",2013,216889,1190,124600,5948,92289,5661
0500000US06013,6013,"Contra Costa County, California",2013,1083629,1195,693153,15783,390476,15510
0500000US06017,6017,"El Dorado County, California",2013,179950,743,130992,6302,48958,6227
0500000US06019,6019,"Fresno County, California",2013,937692,1739,468895,14980,468797,14965
0500000US06023,6023,"Humboldt County, California",2013,130304,974,71482,4069,58822,3928
0500000US06025,6025,"Imperial County, California",2013,166762,1070,89281,7046,77481,6923
0500000US06029,6029,"Kern County, California",2013,832384,2904,437692,15941,394692,15652
0500000US06031,6031,"Kings County, California",2013,133662,1371,70845,5731,62817,5689
